Meal,Baseline,AI-RF
1971 - Sandwich (Italian),70947.66316729537,4912.786842220665
2290 - Rice Bowl (Indian),54462.86432607084,8713.403518580344
1727 - Rice Bowl (Indian),31612.954649953237,12952.059175718387
1993 - Beverages (Thai),11446.208765351084,8780.030534647914
1109 - Rice Bowl (Indian),9965.95790177743,5171.222032526844
2707 - Beverages (Italian),6665.032813122528,4139.165747650558
1062 - Beverages (Italian),5364.691044226126,3381.484506993069
1754 - Sandwich (Italian),5083.659272610626,6119.999401200167
1885 - Beverages (Thai),4098.325426317437,2743.9145327717783
2826 - Sandwich (Italian),2895.800683748797,2783.86939983236
